,Nome da instituicao,Sigla da instituicao,Nome da base de dados,Sigla da base de dados,Responsavel pelo registro,Numero do registro no portal,Numero do registro na base de dados,Data do registro,Data do evento,Data de Carencia,Nome cientifico,Nome comum,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Reino,Filo,Classe,Ordem,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Pais,Estado/Provincia,Municipio,Status de Sensibilidade,lat,lon,Outras informacoes da localidade,Jurisdicao,"Destino do Material
"
0,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.K.D. Salomão,RB00520682,288,23/05/2007,Sem Informações,30/10/2017,Piper hispidum,Sem Informações,Piper hispidum Sw.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper hispidum,Espécie não Ameaçada,Sem Informações,"Reserva da Embrapa Gado de Corte, buritizal do córrego Piraputanga.",Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.5058334,-54.7327778,Sem Informações,Sem Informações,"Sem Informações
"
1,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.K.D. Salomão,RB00520691,46,04/09/2006,Sem Informações,30/10/2017,Piper hispidum,Sem Informações,Piper hispidum Sw.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper hispidum,Espécie não Ameaçada,Sem Informações,próximas as instalações da Embrapa.,Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.535,-54.8016667,Sem Informações,Sem Informações,"Sem Informações
"
2,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A. Pott,RB00520692,8753,29/11/2001,Sem Informações,30/10/2017,Piper hispidum,Sem Informações,Piper hispidum Sw.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper hispidum,Espécie não Ameaçada,Sem Informações,"Córrego Imbirussu, estrada do anel rodoviário, entre BR 262 em industrial e trevo para Sidrolândia.",Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.6377778,-54.7325,Sem Informações,Sem Informações,"Sem Informações
"
3,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A. Pott,RB00520698,8519,19/02/2001,Sem Informações,30/10/2017,Piper amalago,Sem Informações,Piper amalago L.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper amalago,Espécie não Ameaçada,Sem Informações,"Inferninho, estrada para Rochedo, próximo ao córrego ( beira de brejo).",Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.3333333,-54.6666667,Sem Informações,Sem Informações,"Sem Informações
"
4,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A. Pott,RB00520702,9784,24/04/2002,Sem Informações,30/10/2017,Piper hispidum,Sem Informações,Piper hispidum Sw.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Piperales,Piperaceae,Piper,Piper hispidum,Espécie não Ameaçada,Sem Informações,Reserva Ecológica do Parque dos Poderes.,Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.4513889,-54.5611111,Sem Informações,Sem Informações,"Sem Informações
"
5,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,Samuel Boff,RB00136608,04,17/09/2003,Sem Informações,30/10/2017,Bauhinia curvula,Sem Informações,Bauhinia curvula Benth.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia curvula,Espécie não Ameaçada,Sem Informações,Reserva Biológica da UFMS.,Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.5077778,-54.6144444,Sem Informações,Sem Informações,"Sem Informações
"
6,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J.F.Santos,RB00137227,56,28/01/2002,Sem Informações,30/10/2017,Bauhinia rufa,Sem Informações,Bauhinia holophylla (Bong.) Steud.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia rufa,Espécie não Ameaçada,Sem Informações,LOcal Reserva Embrapa - CNPGC. .,Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.4213889,-54.6852777,Sem Informações,Sem Informações,"Sem Informações
"
7,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J.F.Santos,RB00137287,32,08/11/2001,Sem Informações,30/10/2017,Bauhinia rufa,Sem Informações,Bauhinia holophylla (Bong.) Steud.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia rufa,Espécie não Ameaçada,Sem Informações,"Mun. Campo Grande, Reserva Embrapa - CNPGC.",Brasil,Mato Grosso do Sul,Sem Informações,Espécie não Sensível,-20.4211111,-54.3391666,Sem Informações,Sem Informações,"Sem Informações
"
8,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A Pott,RB00138131,11257,03/08/2003,Sem Informações,30/10/2017,Bauhinia curvula,Sem Informações,Bauhinia curvula Benth.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia curvula,Espécie não Ameaçada,Sem Informações,Local Embrapa Gado de Corte.,Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.4238889,-54.6769445,Sem Informações,Sem Informações,"Sem Informações
"
9,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,"Damasceno- Junior , G.A",RB00472779,4781,11/01/2007,Sem Informações,30/10/2017,Diptychandra aurantiaca,Sem Informações,Diptychandra aurantiaca Tul.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Diptychandra,Diptychandra aurantiaca,Espécie não Ameaçada,Sem Informações,Logradouro- Rancho do Bicudo. Alt: 663 m.,Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.7788889,-54.9266667,Sem Informações,Sem Informações,"Sem Informações
"
10,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L. C. P. Lima,RB00374940,105,13/08/2001,Sem Informações,30/10/2017,Aeschynomene fluminensis,Sem Informações,Aeschynomene fluminensis Vell.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,Aeschynomene fluminensis,Espécie não Ameaçada,Sem Informações,"Local Anel Viário, ca. de 8km do trevo da BR 262, sentido Três Lagoas/Sidrolândia.",Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.5355555,-54.7158333,Sem Informações,Sem Informações,"Sem Informações
"
11,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L. C. P. Lima,RB00374946,106,13/08/2001,Sem Informações,30/10/2017,Aeschynomene pratensis,Sem Informações,Aeschynomene pratensis Small,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,Aeschynomene pratensis,Espécie não Ameaçada,Sem Informações,"Local Anel Viário, ca. de 8km do trevo da BR 262, sentido Três Lagoas/Sidrolândia.",Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.5355555,-54.7158333,Sem Informações,Sem Informações,"Sem Informações
"
12,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L. C. P. Lima,RB00374956,172,31/05/2002,Sem Informações,30/10/2017,Aeschynomene filosa,Sem Informações,Aeschynomene filosa Mart.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,Aeschynomene filosa,Espécie não Ameaçada,Sem Informações,"Local Lagoa Itatiaia bairro Itatiaia, próx. ao Tiradentes. Itatiaia",Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.4783334,-54.575,Sem Informações,Sem Informações,"Sem Informações
"
13,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,L. C. P. Lima,RB00374978,39,01/03/2002,Sem Informações,30/10/2017,Aeschynomene paniculata,Sem Informações,Aeschynomene paniculata Willd. ex Vogel,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Aeschynomene,Aeschynomene paniculata,Espécie não Ameaçada,Sem Informações,"Local Avenida Duque de Caxias, esquina com Diogo Dias, próx. ao trilho.",Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.4636111,-54.6480555,Sem Informações,Sem Informações,"Sem Informações
"
14,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A. Pott,RB00570598,6291,07/08/1992,Sem Informações,30/10/2017,Vernonia echitifolia,Sem Informações,Acilepidopsis echitifolia (Mart. ex DC.) H.Rob.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Vernonia,Vernonia echitifolia,Espécie não Ameaçada,Sem Informações,"Entre km 468, BR 163, 11 km Norte de Jaraguari.",Brasil,Mato Grosso do Sul,Jaraguari,Espécie não Sensível,-20.1166667,-54.4166667,Sem Informações,Sem Informações,"Sem Informações
"
15,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.Pott,RB00570830,6154,29/02/1992,Sem Informações,30/10/2017,Aspilia clausseniana,Sem Informações,Aspilia clausseniana Baker,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Aspilia,Aspilia clausseniana,Espécie não Ameaçada,Sem Informações,"Km 396 Rodovia BR262,entre Terenos e Anastácio.",Brasil,Mato Grosso do Sul,Terenos,Espécie não Sensível,-20.4166667,-55.0666667,Sem Informações,Sem Informações,"Sem Informações
"
16,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,A.L.B. Sartori,RB00750872,506,16/05/2001,Sem Informações,30/10/2017,Bauhinia longifolia,Sem Informações,Bauhinia longifolia (Bong.) Steud.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,Bauhinia longifolia,Espécie não Ameaçada,Sem Informações,Reserva Embrapa.,Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.4544444,-54.7352777,Sem Informações,Sem Informações,"Sem Informações
"
17,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J.F.M. Valls,RB00871644,15475,15/10/2010,Sem Informações,30/10/2017,Arachis oteroi,Sem Informações,Arachis oteroi Krapov. & W.C.Greg.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis oteroi,Espécie não Ameaçada,Sem Informações,"BR-163, cerca de 22km ao norte do trevo para Ribas do rio Pardo, em local de início de estrada para oeste, local pouco ao norte da divisa de Jaraguari-Campo Grande.",Brasil,Mato Grosso do Sul,Jaraguari,Espécie não Sensível,-20.3061111,-54.5075,Sem Informações,Sem Informações,"Sem Informações
"
18,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J.F.M. Valls,RB00871695,15408,12/11/2009,Sem Informações,30/10/2017,Arachis oteroi,Sem Informações,Arachis oteroi Krapov. & W.C.Greg.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis oteroi,Espécie não Ameaçada,Sem Informações,Campo Grande. Reserva de Cerradão junto ao Germoplasma de Bachiaria.,Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.4202778,-54.7241667,Sem Informações,Sem Informações,"Sem Informações
"
19,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,J.F.M. Valls,RB00872061,15448,22/04/2010,Sem Informações,30/10/2017,Arachis tuberosa,Sem Informações,Arachis tuberosa Bong. ex Benth.,species,Sem Informações,Sem Informações,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Arachis,Arachis tuberosa,Espécie não Ameaçada,Sem Informações,"Terreno baldio na rua Sudão , lado sul da av. Dinamarca, no bairro Barra da Tijuca.",Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.5188889,-54.6725,Sem Informações,Sem Informações,"Sem Informações
"
20,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,D.M. Vital,RB00919997,6430,23/05/1976,Sem Informações,30/10/2017,Acrolejeunea torulosa,Sem Informações,Acrolejeunea torulosa (Lehm. & Lindenb.) Schiffn.,species,Sem Informações,Sem Informações,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Acrolejeunea,Acrolejeunea torulosa,Espécie não Ameaçada,Sem Informações,"Along BR-060, km20. Ca. 20km SW of the city.",Brasil,Mato Grosso do Sul,Campo Grande,Espécie não Sensível,-20.4427777,-54.6463889,Sem Informações,Sem Informações,"Sem Informações
"
21,Sem Informações,JBRJ,Herbário do Jardim Botânico do Rio de Janeiro,RB,F.J.M. Caporal,RB00880013,897,25/12/2009,Sem Informações,30/10/2017,Brachiaria humidicola,Sem Informações,Urochloa humidicola (Rendle) Morrone & Zuloaga,species,Sem Informações,Sem Informações,Magnoliophyta,Liliopsida,Poales,Poaceae,Brachiaria,Brachiaria humidicola,Espécie não Ameaçada,Sem Informações,Fazenda Nova Esperança.,Brasil,Mato Grosso do Sul,Sidrolândia,Espécie não Sensível,-20.7561111,-54.3436111,Sem Informações,Sem Informações,"Sem Informações
"
22,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Patrícia Sayuri Shibuya,1030379,"Nº Da Autorização/Licença Sisbio: 51953, Projeto: Capacidade Perceptual De Anfíbios Em Uma Paisagem Fragmentada Do Cerrado Do Mato Grosso Do Sul.",06/10/2016,07/10/2016 a 02/01/2017,09/04/2017,Leptodactylus labyrinthicus,Sem Informações,Leptodactylus labyrinthicus,species,10,Sem Informações,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus labyrinthicus,Espécie não Ameaçada,Sem Informações,Parque Ecológico Do Sóter,Brasil,MS,Campo Grande,Espécie não Sensível,-20.429269,-54.576822,Coordenada de referência da área amostrada,Sem Informações,"Solto/mantido na natureza
"
23,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Luiz Gusatvo Rodrigues Oliveira Santos,1019997,"Nº Da Autorização/Licença Sisbio: 49802, Projeto: Cidades Megadiversas: Como E Por Que Animais Silvestres Persistem Em Grandes Centros Urbanos",29/03/2015,30/03/2015 a 17/06/2015,13/03/2017,Phrynops geoffroanus,Cágado-de-barbicha,Phrynops geoffroanus,species,110,Sem Informações,Chordata,Reptilia,Testudines,Chelidae,Phrynops,Phrynops geoffroanus,Espécie não Ameaçada,Sem Informações,Campus Da Universidade Federal De Mato Grosso Do Sul,Brasil,MS,Campo Grande,Espécie não Sensível,-20.504131,-54.615594,Coordenada aproximada,Sem Informações,"Solto/mantido na natureza
"
24,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Luiz Gusatvo Rodrigues Oliveira Santos,1019999,"Nº Da Autorização/Licença Sisbio: 49802, Projeto: Cidades Megadiversas: Como E Por Que Animais Silvestres Persistem Em Grandes Centros Urbanos",13/04/2016,14/04/2016 a 10/06/2016,13/03/2017,Hydrochaeris hydrochaeris,Sem Informações,Hydrochaeris hydrochaeris,species,10,Sem Informações,Chordata,Mammalia,Rodentia,Hydrochaeridae,Hydrochaeris,Hydrochaeris hydrochaeris,Espécie não Ameaçada,Sem Informações,Campus Da Universidade Federal De Mato Grosso Do Sul,Brasil,MS,Campo Grande,Espécie não Sensível,-20.504131,-54.615594,Coordenada aproximada,Sem Informações,"Solto/mantido na natureza
"
25,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Vanessa Gonçalves Ferreira,1059912,"Nº Da Autorização/Licença Sisbio: 54632, Projeto: História Natural De Anuros (Amphibia) Na Diagonal De Formações Abertas Da América Do Sul: Dimorfismo Sexual, Fertilidade E Dieta",31/10/2016,01/11/2016 a 01/11/2016,04/06/2018,Leptodactylus chaquensis,Sem Informações,Leptodactylus chaquensis,species,6,Sem Informações,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus chaquensis,Espécie não Ameaçada,Sem Informações,Cerrado,Brasil,MS,Campo Grande,Espécie não Sensível,-20.537627,-54.748829,Coordenada aproximada,Sem Informações,"Depositado em coleção/museu
"
26,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1063025,Nº Da Autorização/Licença Sisbio: 15382,10/11/2016,11/11/2016 a 11/11/2016,30/06/2016,Zosis geniculata,Sem Informações,Zosis geniculata,species,1,Sem Informações,Arthropoda,Arachnida,Araneae,Uloboridae,Zosis,Zosis geniculata,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
27,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1063027,Nº Da Autorização/Licença Sisbio: 15382,10/11/2016,11/11/2016 a 11/11/2016,30/06/2016,Wixia abdominalis,Sem Informações,Wixia abdominalis,species,1,Sem Informações,Arthropoda,Arachnida,Araneae,Araneidae,Wixia,Wixia abdominalis,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
28,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1063781,Nº Da Autorização/Licença Sisbio: 15382,02/02/2017,03/02/2017 a 03/02/2017,30/06/2016,Micrathena plana,Sem Informações,Micrathena plana,species,1,Sem Informações,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,Micrathena plana,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
29,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1063782,Nº Da Autorização/Licença Sisbio: 15382,02/02/2017,03/02/2017 a 03/02/2017,30/06/2016,Uloborus trilineatus,Sem Informações,Uloborus trilineatus,species,4,Sem Informações,Arthropoda,Arachnida,Araneae,Uloboridae,Uloborus,Uloborus trilineatus,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
30,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1063785,Nº Da Autorização/Licença Sisbio: 15382,08/05/2017,09/05/2017 a 09/05/2017,30/06/2016,Miagrammopes rubripes,Sem Informações,Miagrammopes rubripes,species,4,Sem Informações,Arthropoda,Arachnida,Araneae,Uloboridae,Miagrammopes,Miagrammopes rubripes,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
31,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1063786,Nº Da Autorização/Licença Sisbio: 15382,08/05/2017,09/05/2017 a 09/05/2017,30/06/2016,Wixia abdominalis,Sem Informações,Wixia abdominalis,species,5,Sem Informações,Arthropoda,Arachnida,Araneae,Araneidae,Wixia,Wixia abdominalis,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
32,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1063787,Nº Da Autorização/Licença Sisbio: 15382,08/05/2017,09/05/2017 a 09/05/2017,30/06/2016,Uloborus trilineatus,Sem Informações,Uloborus trilineatus,species,1,Sem Informações,Arthropoda,Arachnida,Araneae,Uloboridae,Uloborus,Uloborus trilineatus,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
33,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1063788,Nº Da Autorização/Licença Sisbio: 15382,08/05/2017,09/05/2017 a 09/05/2017,30/06/2016,Micrathena plana,Sem Informações,Micrathena plana,species,2,Sem Informações,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,Micrathena plana,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
34,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1062191,Nº Da Autorização/Licença Sisbio: 15382,16/03/2016,17/03/2016 a 17/03/2016,30/06/2016,Micrathena sexspinosa,Sem Informações,Micrathena sexspinosa,species,10,Sem Informações,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,Micrathena sexspinosa,Espécie não Ameaçada,Sem Informações,Mata Na Região De Furnas Do Dionísio,Brasil,MS,Jaraguari,Espécie não Sensível,-20.148333,-54.53,Coordenada aproximada,Sem Informações,"Depositado em coleção/museu
"
35,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1062195,Nº Da Autorização/Licença Sisbio: 15382,16/03/2016,17/03/2016 a 17/03/2016,30/06/2016,Thwaitesia bracteata,Sem Informações,Thwaitesia bracteata,species,1,Sem Informações,Arthropoda,Arachnida,Araneae,Theridiidae,Thwaitesia,Thwaitesia bracteata,Espécie não Ameaçada,Sem Informações,Mata Na Região De Furnas Do Dionísio,Brasil,MS,Jaraguari,Espécie não Sensível,-20.148333,-54.53,Coordenada aproximada,Sem Informações,"Depositado em coleção/museu
"
36,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1062198,Nº Da Autorização/Licença Sisbio: 15382,18/05/2016,19/05/2016 a 19/05/2016,30/06/2016,Uloborus trilineatus,Sem Informações,Uloborus trilineatus,species,7,Sem Informações,Arthropoda,Arachnida,Araneae,Uloboridae,Uloborus,Uloborus trilineatus,Espécie não Ameaçada,Sem Informações,Mata Na Propriedade Toca Do Ouriço,Brasil,MS,Jaraguari,Espécie não Sensível,-20.102728,-54.562783,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
37,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1062199,Nº Da Autorização/Licença Sisbio: 15382,30/06/2016,01/07/2016 a 01/07/2016,30/06/2016,Micrathena patruelis,Sem Informações,Micrathena patruelis,species,1,Sem Informações,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,Micrathena patruelis,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
38,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1062201,Nº Da Autorização/Licença Sisbio: 15382,03/08/2016,04/08/2016 a 04/08/2016,30/06/2016,Aglaoctenus lagotis,Sem Informações,Aglaoctenus lagotis,species,4,Sem Informações,Arthropoda,Arachnida,Araneae,Lycosidae,Aglaoctenus,Aglaoctenus lagotis,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
39,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Douglas De Araujo,1062202,Nº Da Autorização/Licença Sisbio: 15382,05/10/2016,06/10/2016 a 06/10/2016,30/06/2016,Onocolus eloaeus,Sem Informações,Onocolus eloaeus,species,4,Sem Informações,Arthropoda,Arachnida,Araneae,Thomisidae,Onocolus,Onocolus eloaeus,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.509167,-54.615056,Coordenada de referência da área amostrada,Sem Informações,"Depositado em coleção/museu
"
40,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Clarice Weis Arns,100858,"Nº Da Autorização/Licença Sisbio: 19848, Projeto: Avaliar A Presença De  Microrganismos Por Metagenômica E Por Técnicas Convencionais Em Animais Silvestres (Aves, Quirópteros, Roedores, Artrópodes, Marsupiais E Outros Mamíferos Silvestres). Coordenador:Pr",19/01/2010,20/01/2010 a 22/02/2010,20/10/2016,Amazona aestiva,Papagaio-verdadeiro,Amazona aestiva,species,20,Sem Informações,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona aestiva,Espécie não Ameaçada,Sem Informações,Centro De Reabilitação De Animais Silvestres,Brasil,MS,Campo Grande,Espécie não Sensível,-20.474167,-54.307222,Coordenada aproximada,Sem Informações,"Destinado a laboratório
"
41,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Rodrigo Pires Dallacqua,1005681,Nº Da Autorização/Licença Sisbio: 51614,11/04/2016,12/04/2016 a 01/07/2016,19/01/2019,Eulaema nigrita,Sem Informações,Eulaema nigrita,species,33,Sem Informações,Arthropoda,Insecta,Hymenoptera,Apidae,Eulaema,Eulaema nigrita,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.5078,-54.61605,Coordenada de referência da área amostrada,Sem Informações,"Será destinado posteriormente
"
42,Sem Informações,ICMBio,Sistema de Autorização e Informação em Biodiversidade.,SISBIO-DIBIO,Rodrigo Pires Dallacqua,1005683,Nº Da Autorização/Licença Sisbio: 51614,11/04/2016,12/04/2016 a 01/07/2016,19/01/2019,Euglossa securigera,Sem Informações,Euglossa securigera,species,7,Sem Informações,Arthropoda,Insecta,Hymenoptera,Apidae,Euglossa,Euglossa securigera,Espécie não Ameaçada,Sem Informações,Reserva Particular Do Patrimônio Natural Da Ufms,Brasil,MS,Campo Grande,Espécie não Sensível,-20.5078,-54.61605,Coordenada de referência da área amostrada,Sem Informações,"Será destinado posteriormente
"
